D;G;C;SC;P;GLOSA
4;1;1;1;1;ARRIENDO
4;3;1;1;1;AGUA POTABLE
4;3;2;1;1;SERVICIO DE RETIRO DE BASURA
4;3;3;2;1;GASTO COMÚN
4;4;1;1;1;ELECTRICIDAD
4;4;2;1;1;GAS POR RED
4;4;2;2;1;GAS LICUADO
5;6;2;1;1;SERVICIO DOMÉSTICO
7;2;4;2;1;SERVICIO DE PEAJE
7;3;2;1;1;SERVICIO DE TRANSPORTE AÉREO
7;3;3;1;1;SERVICIO DE TRANSPORTE MULTIMODAL
8;1;1;1;1;EQUIPO DE TELEFONÍA MÓVIL
8;2;1;1;1;SERVICIO DE CONEXIÓN INTERNET
8;2;1;1;2;SERVICIO DE BANDA ANCHA MÓVIL
8;2;1;1;3;SERVICIO DE PACK DE TELECOMUNICACIONES
8;2;1;1;4;SERVICIO DE TELEFONÍA MÓVIL
8;2;1;1;5;SERVICIO DE TELEFONÍA FIJA
9;3;1;1;2;ENTRADA A ESPECTÁCULOS DEPORTIVOS
9;3;2;1;2;ENTRADA A ESPECTÁCULOS CULTURALES
9;3;2;3;1;SERVICIO DE TELEVISIÓN PAGADA RESIDENCIAL
9;5;1;1;1;PAQUETE TURÍSTICO
10;1;1;1;1;SERVICIO DE EDUCACIÓN DE JARDÍN INFANTIL
10;1;1;1;2;SERVICIO DE EDUCACIÓN DE TRANSICIÓN
10;1;1;1;3;SERVICIO DE EDUCACIÓN DE 1° CICLO DE LA ENSEÑANZA BÁSICA
10;1;1;1;4;SERVICIO DE EDUCACIÓN DE 2° CICLO DE LA ENSEÑANZA BÁSICA
10;2;1;1;1;SERVICIO DE EDUCACIÓN DE LA ENSEÑANZA MEDIA
10;3;1;1;1;SERVICIO DE PRE UNIVERSITARIO
10;4;1;1;1;SERVICIO DE ENSEÑANZA EN CENTROS DE FORMACIÓN TÉCNICA
10;4;1;1;2;SERVICIO DE ENSEÑANZA EN INSTITUTO PROFESIONAL
10;4;1;1;3;SERVICIO DE ENSEÑANZA UNIVERSITARIA
10;4;1;1;4;SERVICIO DE ENSEÑANZA DE POST GRADO Y POSTÍTULO
10;5;1;1;1;CURSOS DE CAPACITACIÓN
12;3;1;1;1;SEGUROS
12;4;1;1;1;GASTO FINANCIERO
12;5;1;1;6;CUOTAS EN CENTROS DE PADRES Y APODERADOS
12;5;1;1;8;SERVICIO DE SALA CUNA
Nota: Los datos de los productos listados fueron excluidos de la base publicada del IPC base anual 2018=100 con el propósito de dar cumplimiento al secreto estadístico establecido en la Ley N° 17.374.;;;;;
